Edge ID,Lane ID,Total Vehicle Count,Average Waiting Time (Lane) (s),Average Waiting Time (Road) (s)
636647587#2,Lane 1,46,24.52173913043478,
636647587#2,Lane 2,45,25.733333333333334,
636647587#2,Lane 3,73,21.876712328767123,
636647587#2,All Lanes,164,,23.676829268292682
1306997822#2,Lane 1,25,30.64,
1306997822#2,Lane 2,84,26.55952380952381,
1306997822#2,Lane 3,148,26.425675675675677,
1306997822#2,All Lanes,257,,26.879377431906615
159072600#3,Lane 1,62,26.983870967741936,
159072600#3,Lane 2,46,23.0,
159072600#3,Lane 3,60,21.0,
159072600#3,All Lanes,168,,23.75595238095238
53823318#1,Lane 1,15,26.266666666666666,
53823318#1,Lane 2,3,54.0,
53823318#1,Lane 3,1,22.0,
53823318#1,All Lanes,19,,30.42105263157895
